	translatome	tran_name	tran_annotation	tran_category	proteome	prot_name	prot_annotation	prot_category	correlation
2857	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.008539196239622909
2858	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		Q9NVI1	FANCI	Fanconi anemia group I protein;FANCI;ortholog		0.0084434970853345
2859	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	Q7Z2T5				0.008385908445032259
2860	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C;ortholog	protein phosphatase(PC00195)	0.00837081864952538
2861	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	O14818	PSMA7	Proteasome subunit alpha type-7;PSMA7;ortholog		0.00831533003789586
2862	Q9Y281				O75643	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200;ortholog	scaffold/adaptor protein(PC00226)	0.0080516175256338
2863	Q5T6V5				P04264_P04259_P02538_P04264_P05787_P13647				0.007988178413631641
2864	Q86Y07				Q9UPN6				0.007604254466371921
2865	P62273	RPS29	40S ribosomal protein S29;RPS29;ortholog		P61158	ACTR3	Actin-related protein 3;ACTR3;ortholog	actin and actin related protein(PC00039)	0.00736296785975411
2866	Q96A33				P15260	IFNGR1	Interferon gamma receptor 1;IFNGR1;ortholog	transmembrane signal receptor(PC00197)	0.0072840691339115405
2867	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.0069133347411552
2868	A6NHR9				P15260	IFNGR1	Interferon gamma receptor 1;IFNGR1;ortholog	transmembrane signal receptor(PC00197)	0.00666475665980243
2869	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		Q9NVI1	FANCI	Fanconi anemia group I protein;FANCI;ortholog		0.00663506121678189
2870	Q86Y07				Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		0.006447051388726839
2871	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	O43663	PRC1	Protein regulator of cytokinesis 1;PRC1;ortholog	non-motor microtubule binding protein(PC00166)	0.006305650238992679
2872	Q96EL3	MRPL53	39S ribosomal protein L53		O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.00620686352290032
2873	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		Q9H1X3				0.006177890270482989
2874	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P02533_P08727_Q9D312_P19012_Q04695_P19001_P08727_P08779_P35900				0.006070239739407879
2875	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q8WWK9				0.00599927909771112
2876	Q03701				P48730_P49674				0.00596035786769192
2877	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.00586447182740621
2878	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.00580869106925892
2879	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	0.00578747102284283
2880	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	P08243	ASNS	Asparagine synthetase [glutamine-hydrolyzing];ASNS;ortholog	ligase(PC00142)	0.005583692791269411
2881	P19338	NCL	Nucleolin;NCL;ortholog		Q9C0A0				0.00544840043706165
2882	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	Q03169				0.0054062982187666
2883	Q8N6R0				Q9NQ84				0.00523378041264901
2884	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	Q14517				0.00514333157848965
2885	Q14566	MCM6	DNA replication licensing factor MCM6;MCM6;ortholog	DNA binding protein(PC00009)	Q7Z434	MAVS	Mitochondrial antiviral-signaling protein;MAVS;ortholog		0.00513001120648099
2886	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.00505948100279496
2887	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		Q5TBB1				0.004974121670547
2888	P62273	RPS29	40S ribosomal protein S29;RPS29;ortholog		Q9C0A0				0.0049611303153191295
2889	A6NHR9				Q9H1X3				0.00444560622475955
2890	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	O95478				0.00437360459225651
2891	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P14174	MIF			0.00421099646804193
2892	P19338	NCL	Nucleolin;NCL;ortholog		O75127				0.00413846813930806
2893	A6NHR9				Q9C0A0				0.0037854668686734
2894	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		Q16719	KYNU	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	0.0036907273103447703
2895	P05388	RPLP0			O43747	AP1G1	AP-1 complex subunit gamma-1;AP1G1;ortholog	membrane traffic protein(PC00150)	0.0036237382825634397
2896	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		0.00359883617326211
2897	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q96DB5				0.0035696541619264603
2898	P05388	RPLP0			P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2		0.00341130684895146
2899	Q03701				O75643	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200;ortholog	scaffold/adaptor protein(PC00226)	0.00322112473844083
2900	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		0.00312733267306115
2901	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	O60292				0.0030937851442079996
2902	P05787	KRT8	Keratin		Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C;ortholog	protein phosphatase(PC00195)	0.00303020308203548
2903	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		Q9Y548				0.0029766223816813397
2904	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	O75717				0.00288559338131156
2905	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		0.002749784562053
2906	P05388	RPLP0			O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	0.00272825443610031
2907	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	Q8WWK9				0.00265811791019037
2908	Q8N6R0				O60292				0.00220801162042368
2909	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.0018672922791609398
2910	Q8N6R0				Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		0.00179823058471865
2911	P19338	NCL	Nucleolin;NCL;ortholog		O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	0.00175396314831591
2912	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.00174336239131533
2913	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	Q7Z434	MAVS	Mitochondrial antiviral-signaling protein;MAVS;ortholog		0.0017090622454581
2914	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	0.0013917300226924
2915	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	0.0013576601759369199
2916	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.0009234203942684859
2917	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.000888758611717215
2918	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	Q9BQP7				0.0008880555321314759
2919	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	Q96K21				0.000590652969664422
2920	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	P02533_P08727_Q9D312_P19012_Q04695_P19001_P08727_P08779_P35900				0.000590485745023853
2921	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.000567860988242571
2922	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	Q16719	KYNU	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	0.000454496527520753
2923	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q96DB5				0.000391241652487544
2924	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	P47897_P07814				0.000384202334887237
2925	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	7.11849655401366e-05
2926	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q8WWK9				6.444991164484411e-05
2927	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.000128367734963792
2928	Q9Y281				Q7Z2T5				-0.000258829372733015
2929	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q8WYA6	CTNNBL1	Beta-catenin-like protein 1;CTNNBL1;ortholog		-0.000259232498133983
2930	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	Q15465	SHH	Sonic hedgehog protein;SHH;ortholog		-0.0004292754155232
2931	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	-0.000549533289976391
2932	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	Q14517				-0.0007437585018284321
2933	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	O43747	AP1G1	AP-1 complex subunit gamma-1;AP1G1;ortholog	membrane traffic protein(PC00150)	-0.000770641038755278
2934	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.0009346783316322699
2935	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q9H190				-0.000988948293749934
2936	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q15465	SHH	Sonic hedgehog protein;SHH;ortholog		-0.00107653538094705
2937	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q8WYA6	CTNNBL1	Beta-catenin-like protein 1;CTNNBL1;ortholog		-0.00110196138664397
2938	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.00153041947803591
2939	Q9Y2B0				Q5TBB1				-0.00154441464277525
2940	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	-0.0017492733420706099
2941	Q14978				P50395	GDI2	Rab GDP dissociation inhibitor beta;GDI2;ortholog	G-protein modulator(PC00022)	-0.0017779063544434198
2942	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	-0.0019799650502859397
2943	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	P46013				-0.00208531043396396
2944	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		-0.00214952511098962
2945	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.0023475334403336603
2946	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q8WWK9				-0.0024070204153229897
2947	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q8WUX9	CHMP7	Charged multivesicular body protein 7;CHMP7;ortholog	membrane traffic protein(PC00150)	-0.00243730907384769
2948	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		Q96QR8				-0.0025027177685710603
2949	A6NHR9				P30046				-0.00251929440937475
2950	Q13907	IDI1			Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.00254744016949353
2951	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		-0.00254925327310745
2952	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		O75717				-0.00263946064644753
2953	Q96EL3	MRPL53	39S ribosomal protein L53		P11388	TOP2A			-0.00265742653522471
2954	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.00286395279078573
2955	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	-0.0030145611083210897
2956	Q8N6R0				Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		-0.00313738234483381
2957	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q96K21				-0.00321162908942347
2958	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	Q03169				-0.00333735737664725
2959	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		Q14517				-0.00337884972800783
2960	A6NHR9				P14174	MIF			-0.00341622032119813
2961	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.00358171564774559
2962	Q96A33				P47897_P07814				-0.0036830802868085795
2963	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.00374617968388917
2964	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		P02533_P08727_Q9D312_P19012_Q04695_P19001_P08727_P08779_P35900				-0.0037958783687529704
2965	Q5T6V5				Q8WWK9				-0.0039033013080380296
2966	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P30046				-0.00393695583056132
2967	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		O94925	GLS	Glutaminase kidney isoform	hydrolase(PC00121)	-0.00402760637277599
2968	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		-0.00404748942316484
2969	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		-0.00432445177119597
2970	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	O15162				-0.004338828670059421
2971	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.004555690434470639
2972	P05783	KRT18	Keratin		Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.00462323524145425
2973	O75368				Q14517				-0.00474140006619864
2974	P62273	RPS29	40S ribosomal protein S29;RPS29;ortholog		P30047	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein;GCHFR;ortholog		-0.004788056643221629
2975	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		-0.00482226800319948
2976	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	P04264_P04259_P02538_P04264_P05787_P13647				-0.0048358497512939105
2977	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		P47897_P07814				-0.00484044851516636
2978	Q14978				Q8TB92	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase	lyase(PC00144)	-0.00530871639450006
2979	P11142	HSPA8	Heat shock cognate 71 kDa protein;HSPA8;ortholog		O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.00554018559590744
2980	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.0056056732710825
2981	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.0058391280751736
2982	Q03701				Q7Z2T5				-0.0058704122538244296
2983	P62841	RPS15	40S ribosomal protein S15;RPS15;ortholog	ribosomal protein(PC00202)	P04264_P04259_P02538_P04264_P05787_P13647				-0.0059189828819130605
2984	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.00598617689306439
2985	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		O75127				-0.00601827388061533
2986	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	O75127				-0.00605177795350308
2987	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.00616408247339962
2988	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	-0.006360299297081671
2989	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.00644313343361267
2990	O75368				Q9Y548				-0.00648120086271104
2991	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	-0.0065249272874751
2992	P06280	GLA	Alpha-galactosidase A;GLA;ortholog		P11388	TOP2A			-0.00658629010742958
2993	Q96EL3	MRPL53	39S ribosomal protein L53		P46013				-0.006908167468908021
2994	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q9C0A0				-0.0069972399808947
2995	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C;ortholog	protein phosphatase(PC00195)	-0.00703131787129595
2996	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	Q14980	NUMA1	Nuclear mitotic apparatus protein 1;NUMA1;ortholog	microtubule or microtubule-binding cytoskeletal protein(PC00157)	-0.00708840026443975
2997	Q8NHP8				Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	-0.00724062683555431
2998	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.007332319373734659
2999	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q9C0A0				-0.00739215792891009
3000	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		P15260	IFNGR1	Interferon gamma receptor 1;IFNGR1;ortholog	transmembrane signal receptor(PC00197)	-0.007509859036117641
3001	Q86Y07				O75127				-0.00751147459742655
3002	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		P06493	CDK1	Cyclin-dependent kinase 1;CDK1;ortholog	non-receptor serine/threonine protein kinase(PC00167)	-0.007564588756177491
3003	Q8N6R0				Q96K21				-0.007653743568563259
3004	P05388	RPLP0			Q9NQ84				-0.0078406319957443
3005	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		Q9H4B0				-0.00794566167788598
3006	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.00800878769635892
3007	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	Q9BQP7				-0.00828647383180889
3008	Q86Y07				O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	-0.00846614695604239
